title,movie_id,cast,crew
Hugo,44826,"['Ben Kingsley', 'Sacha Baron Cohen', 'Asa Butterfield']",['Martin Scorsese']
Wild Wild West,8487,"['Will Smith', 'Kevin Kline', 'Kenneth Branagh']",['Barry Sonnenfeld']
The Mummy: Tomb of the Dragon Emperor,1735,"['Brendan Fraser', 'Jet Li', 'John Hannah']",['Rob Cohen']
Suicide Squad,297761,"['Will Smith', 'Margot Robbie', 'Joel Kinnaman']",['David Ayer']
Evan Almighty,2698,"['Steve Carell', 'Lauren Graham', 'John Goodman']",['Tom Shadyac']
Edge of Tomorrow,137113,"['Tom Cruise', 'Emily Blunt', 'Brendan Gleeson']",['Doug Liman']
Waterworld,9804,"['Kevin Costner', 'Chaim Girafi', 'Rick Aviles']",['Kevin Reynolds']
G.I. Joe: The Rise of Cobra,14869,"['Dennis Quaid', 'Channing Tatum', 'Marlon Wayans']",['Stephen Sommers']
Inside Out,150540,"['Amy Poehler', 'Phyllis Smith', 'Richard Kind']",['Pete Docter']
The Jungle Book,278927,"['Neel Sethi', 'Bill Murray', 'Ben Kingsley']",['Jon Favreau']
Iron Man 2,10138,"['Robert Downey Jr.', 'Gwyneth Paltrow', 'Don Cheadle']",['Jon Favreau']
Snow White and the Huntsman,58595,"['Kristen Stewart', 'Charlize Theron', 'Chris Hemsworth']",['Rupert Sanders']
Maleficent,102651,"['Angelina Jolie', 'Elle Fanning', 'Sharlto Copley']",['Robert Stromberg']
Dawn of the Planet of the Apes,119450,"['Andy Serkis', 'Jason Clarke', 'Gary Oldman']",['Matt Reeves']
The Lovers,79698,"['Josh Hartnett', 'Simone Kessell', 'Tamsin Egerton']",['Roland Joffé']
47 Ronin,64686,"['Keanu Reeves', 'Hiroyuki Sanada', 'Kou Shibasaki']",['Carl Rinsch']
Captain America: The Winter Soldier,100402,"['Chris Evans', 'Samuel L. Jackson', 'Scarlett Johansson']",['Anthony Russo']
Shrek Forever After,10192,"['Mike Myers', 'Eddie Murphy', 'Cameron Diaz']",['Mike Mitchell']
Tomorrowland,158852,"['Britt Robertson', 'George Clooney', 'Raffey Cassidy']",['Brad Bird']
Big Hero 6,177572,"['Scott Adsit', 'Ryan Potter', 'Daniel Henney']",['Chris Williams']
Wreck-It Ralph,82690,"['John C. Reilly', 'Sarah Silverman', 'Jack McBrayer']",['Rich Moore']
The Polar Express,5255,"['Tom Hanks', 'Michael Jeter', 'Nona Gaye']",['Robert Zemeckis']
Independence Day: Resurgence,47933,"['Liam Hemsworth', 'Jeff Goldblum', 'Bill Pullman']",['Roland Emmerich']
How to Train Your Dragon,10191,"['Jay Baruchel', 'Gerard Butler', 'Craig Ferguson']",['Chris Sanders']
Terminator 3: Rise of the Machines,296,"['Arnold Schwarzenegger', 'Nick Stahl', 'Claire Danes']",['Jonathan Mostow']
Guardians of the Galaxy,118340,"['Chris Pratt', 'Zoe Saldana', 'Dave Bautista']",['James Gunn']
Interstellar,157336,"['Matthew McConaughey', 'Jessica Chastain', 'Anne Hathaway']",['Christopher Nolan']
Inception,27205,"['Leonardo DiCaprio', 'Joseph Gordon-Levitt', 'Ellen Page']",['Christopher Nolan']
Shin Godzilla,315011,"['Hiroki Hasegawa', 'Yutaka Takenouchi', 'Satomi Ishihara']",['Hideaki Anno']
The Hobbit: An Unexpected Journey,49051,"['Ian McKellen', 'Martin Freeman', 'Richard Armitage']",['Peter Jackson']
The Fast and the Furious,9799,"['Paul Walker', 'Vin Diesel', 'Michelle Rodriguez']",['Rob Cohen']
The Curious Case of Benjamin Button,4922,"['Cate Blanchett', 'Brad Pitt', 'Tilda Swinton']",['David Fincher']
X-Men: First Class,49538,"['James McAvoy', 'Michael Fassbender', 'Jennifer Lawrence']",['Matthew Vaughn']
The Hunger Games: Mockingjay - Part 2,131634,"['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth']",['Francis Lawrence']
The Sorcerer's Apprentice,27022,"['Nicolas Cage', 'Jay Baruchel', 'Monica Bellucci']",['Jon Turteltaub']
Poseidon,503,"['Kurt Russell', 'Richard Dreyfuss', 'Josh Lucas']",['Wolfgang Petersen']
Alice Through the Looking Glass,241259,"['Johnny Depp', 'Mia Wasikowska', 'Anne Hathaway']",['James Bobin']
Shrek the Third,810,"['Mike Myers', 'Eddie Murphy', 'Cameron Diaz']",['Chris Miller']
Warcraft,68735,"['Paula Patton', 'Travis Fimmel', 'Ben Foster']",['Duncan Jones']
Terminator Genisys,87101,"['Arnold Schwarzenegger', 'Jason Clarke', 'Emilia Clarke']",['Alan Taylor']
The Chronicles of Narnia: The Voyage of the Dawn Treader,10140,"['Skandar Keynes', 'Georgie Henley', 'Simon Pegg']",['Michael Apted']
Pearl Harbor,676,"['Ben Affleck', 'Josh Hartnett', 'Kate Beckinsale']",['Michael Bay']
Transformers,1858,"['Shia LaBeouf', 'Josh Duhamel', 'Megan Fox']",['Michael Bay']
Alexander,1966,"['Colin Farrell', 'Angelina Jolie', 'Val Kilmer']",['Oliver Stone']
Harry Potter and the Order of the Phoenix,675,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson']",['David Yates']
Harry Potter and the Goblet of Fire,674,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson']",['Mike Newell']
Hancock,8960,"['Will Smith', 'Charlize Theron', 'Jason Bateman']",['Peter Berg']
I Am Legend,6479,"['Will Smith', 'Alice Braga', 'Charlie Tahan']",['Francis Lawrence']
Charlie and the Chocolate Factory,118,"['Johnny Depp', 'Freddie Highmore', 'David Kelly']",['Tim Burton']
Ratatouille,2062,"['Patton Oswalt', 'Ian Holm', 'Lou Romano']",['Jan Pinkava']
Batman Begins,272,"['Christian Bale', 'Michael Caine', 'Liam Neeson']",['Christopher Nolan']
Madagascar: Escape 2 Africa,10527,"['Ben Stiller', 'Jada Pinkett Smith', 'David Schwimmer']",['Eric Darnell']
Night at the Museum: Battle of the Smithsonian,18360,"['Ben Stiller', 'Amy Adams', 'Owen Wilson']",['Shawn Levy']
X-Men Origins: Wolverine,2080,"['Hugh Jackman', 'Liev Schreiber', 'Danny Huston']",['Gavin Hood']
The Matrix Revolutions,605,"['Keanu Reeves', 'Laurence Fishburne', 'Carrie-Anne Moss']",['Lilly Wachowski']
Frozen,109445,"['Kristen Bell', 'Idina Menzel', 'Jonathan Groff']",['Chris Buck']
The Matrix Reloaded,604,"['Keanu Reeves', 'Carrie-Anne Moss', 'Laurence Fishburne']",['Lilly Wachowski']
Thor: The Dark World,76338,"['Chris Hemsworth', 'Natalie Portman', 'Tom Hiddleston']",['Alan Taylor']
Mad Max: Fury Road,76341,"['Tom Hardy', 'Charlize Theron', 'Nicholas Hoult']",['George Miller']
Angels & Demons,13448,"['Tom Hanks', 'Ewan McGregor', 'Ayelet Zurer']",['Ron Howard']
Thor,10195,"['Chris Hemsworth', 'Natalie Portman', 'Tom Hiddleston']",['Kenneth Branagh']
Bolt,13053,"['John Travolta', 'Miley Cyrus', 'Susie Essman']",['Chris Williams']
G-Force,19585,"['Sam Rockwell', 'Penélope Cruz', 'Tracy Morgan']",['Hoyt Yeatman']
Wrath of the Titans,57165,"['Sam Worthington', 'Liam Neeson', 'Ralph Fiennes']",['Jonathan Liebesman']
Dark Shadows,62213,"['Johnny Depp', 'Michelle Pfeiffer', 'Helena Bonham Carter']",['Tim Burton']
Mission: Impossible - Rogue Nation,177677,"['Tom Cruise', 'Rebecca Ferguson', 'Simon Pegg']",['Christopher McQuarrie']
The Wolfman,7978,"['Benicio del Toro', 'Anthony Hopkins', 'Emily Blunt']",['Joe Johnston']
Bee Movie,5559,"['Jerry Seinfeld', 'Renée Zellweger', 'Jim Cummings']",['Steve Hickner']
Kung Fu Panda 2,49444,"['Jack Black', 'Angelina Jolie', 'Dustin Hoffman']",['Jennifer Yuh Nelson']
The Last Airbender,10196,"['Noah Ringer', 'Nicola Peltz', 'Jackson Rathbone']",['M. Night Shyamalan']
Mission: Impossible III,956,"['Tom Cruise', 'Philip Seymour Hoffman', 'Ving Rhames']",['J.J. Abrams']
White House Down,117251,"['Channing Tatum', 'Jamie Foxx', 'Joey King']",['Roland Emmerich']
Mars Needs Moms,50321,"['Seth Green', 'Joan Cusack', 'Dan Fogler']",['Simon Wells']
Flushed Away,11619,"['Hugh Jackman', 'Kate Winslet', 'Ian McKellen']",['David Bowers']
Pan,266647,"['Levi Miller', 'Garrett Hedlund', 'Hugh Jackman']",['Joe Wright']
Mr. Peabody & Sherman,82703,"['Ty Burrell', 'Max Charles', 'Ariel Winter']",['Rob Minkoff']
Troy,652,"['Brad Pitt', 'Orlando Bloom', 'Eric Bana']",['Wolfgang Petersen']
Madagascar 3: Europe's Most Wanted,80321,"['Ben Stiller', 'Sacha Baron Cohen', 'David Schwimmer']",['Conrad Vernon']
Die Another Day,36669,"['Pierce Brosnan', 'Halle Berry', 'Rosamund Pike']",['Lee Tamahori']
Ghostbusters,43074,"['Melissa McCarthy', 'Kristen Wiig', 'Kate McKinnon']",['Paul Feig']
Armageddon,95,"['Bruce Willis', 'Billy Bob Thornton', 'Ben Affleck']",['Michael Bay']
Men in Black II,608,"['Tommy Lee Jones', 'Will Smith', 'Rip Torn']",['Barry Sonnenfeld']
Beowulf,2310,"['Ray Winstone', 'Angelina Jolie', 'Anthony Hopkins']",['Robert Zemeckis']
Kung Fu Panda 3,140300,"['Jack Black', 'Bryan Cranston', 'Dustin Hoffman']",['Jennifer Yuh Nelson']
Mission: Impossible - Ghost Protocol,56292,"['Tom Cruise', 'Jeremy Renner', 'Simon Pegg']",['Brad Bird']
Rise of the Guardians,81188,"['Chris Pine', 'Alec Baldwin', 'Jude Law']",['Peter Ramsey']
Fun with Dick and Jane,7552,"['Jim Carrey', 'Téa Leoni', 'Alec Baldwin']",['Dean Parisot']
The Last Samurai,616,"['Tom Cruise', 'Ken Watanabe', 'William Atherton']",['Edward Zwick']
Exodus: Gods and Kings,147441,"['Christian Bale', 'Joel Edgerton', 'John Turturro']",['Ridley Scott']
Star Trek,13475,"['Chris Pine', 'Zachary Quinto', 'Leonard Nimoy']",['J.J. Abrams']
Spider-Man,557,"['Tobey Maguire', 'Willem Dafoe', 'Kirsten Dunst']",['Sam Raimi']
How to Train Your Dragon 2,82702,"['Jay Baruchel', 'Gerard Butler', 'Kristen Wiig']",['Dean DeBlois']
Gods of Egypt,205584,"['Brenton Thwaites', 'Nikolaj Coster-Waldau', 'Gerard Butler']",['Alex Proyas']
Stealth,10048,"['Josh Lucas', 'Jessica Biel', 'Jamie Foxx']",['Rob Cohen']
Watchmen,13183,"['Malin Åkerman', 'Billy Crudup', 'Carla Gugino']",['Zack Snyder']
Lethal Weapon 4,944,"['Mel Gibson', 'Danny Glover', 'Joe Pesci']",['Richard Donner']
Hulk,1927,"['Eric Bana', 'Jennifer Connelly', 'Sam Elliott']",['Ang Lee']
G.I. Joe: Retaliation,72559,"['Dwayne Johnson', 'D.J. Cotrona', 'Adrianne Palicki']",['Jon M. Chu']
Sahara,7364,"['Matthew McConaughey', 'Penélope Cruz', 'Steve Zahn']",['Breck Eisner']
Final Fantasy: The Spirits Within,2114,"['Donald Sutherland', 'Ming-Na Wen', 'Alec Baldwin']",['Hironobu Sakaguchi']
Captain America: The First Avenger,1771,"['Chris Evans', 'Hugo Weaving', 'Tommy Lee Jones']",['Joe Johnston']
The World Is Not Enough,36643,"['Pierce Brosnan', 'Sophie Marceau', 'Robert Carlyle']",['Michael Apted']
Master and Commander: The Far Side of the World,8619,"['Russell Crowe', 'Paul Bettany', ""James D'Arcy""]",['Peter Weir']
The Twilight Saga: Breaking Dawn - Part 2,50620,"['Kristen Stewart', 'Robert Pattinson', 'Taylor Lautner']",['Bill Condon']
Happy Feet Two,65759,"['Elijah Wood', 'Robin Williams', 'Pink']",['George Miller']
The Incredible Hulk,1724,"['Edward Norton', 'Liv Tyler', 'Tim Roth']",['Louis Leterrier']
The BFG,267935,"['Ruby Barnhill', 'Mark Rylance', 'Rebecca Hall']",['Steven Spielberg']
The Revenant,281957,"['Leonardo DiCaprio', 'Tom Hardy', 'Will Poulter']",['Alejandro González Iñárritu']
Turbo,77950,"['Ryan Reynolds', 'Paul Giamatti', 'Michael Peña']",['David Soren']
Rango,44896,"['Johnny Depp', 'Isla Fisher', 'Ned Beatty']",['Gore Verbinski']
Penguins of Madagascar,270946,"['Tom McGrath', 'Chris Miller', 'Christopher Knights']",['Eric Darnell']
The Bourne Ultimatum,2503,"['Matt Damon', 'Julia Stiles', 'David Strathairn']",['Paul Greengrass']
Kung Fu Panda,9502,"['Jack Black', 'Dustin Hoffman', 'Angelina Jolie']",['Mark Osborne']
Ant-Man,102899,"['Paul Rudd', 'Michael Douglas', 'Evangeline Lilly']",['Peyton Reed']
The Hunger Games: Catching Fire,101299,"['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth']",['Francis Lawrence']
Home,228161,"['Jim Parsons', 'Rihanna', 'Steve Martin']",['Tim Johnson']
War of the Worlds,74,"['Tom Cruise', 'Dakota Fanning', 'Miranda Otto']",['Steven Spielberg']
Bad Boys II,8961,"['Martin Lawrence', 'Will Smith', 'Jordi Mollà']",['Michael Bay']
Puss in Boots,417859,"['Antonio Banderas', 'Salma Hayek', 'Zach Galifianakis']",['Chris Miller']
Salt,27576,"['Angelina Jolie', 'Liev Schreiber', 'Chiwetel Ejiofor']",['Phillip Noyce']
Noah,86834,"['Russell Crowe', 'Jennifer Connelly', 'Emma Watson']",['Darren Aronofsky']
The Adventures of Tintin,17578,"['Jamie Bell', 'Andy Serkis', 'Daniel Craig']",['Steven Spielberg']
Harry Potter and the Prisoner of Azkaban,673,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson']",['Alfonso Cuarón']
Australia,6972,"['Nicole Kidman', 'Hugh Jackman', 'Essie Davis']",['Baz Luhrmann']
After Earth,82700,"['Jaden Smith', 'Will Smith', 'Sophie Okonedo']",['M. Night Shyamalan']
Dinosaur,10567,"['D. B. Sweeney', 'Alfre Woodard', 'Ossie Davis']",['Ralph Zondag']
Night at the Museum: Secret of the Tomb,181533,"['Ben Stiller', 'Rami Malek', 'Rebel Wilson']",['Shawn Levy']
Megamind,38055,"['Will Ferrell', 'Brad Pitt', 'Tina Fey']",['Tom McGrath']
Harry Potter and the Philosopher's Stone,671,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson']",['Chris Columbus']
R.I.P.D.,49524,"['Jeff Bridges', 'Ryan Reynolds', 'Kevin Bacon']",['Robert Schwentke']
Pirates of the Caribbean: The Curse of the Black Pearl,22,"['Johnny Depp', 'Geoffrey Rush', 'Orlando Bloom']",['Gore Verbinski']
The Hunger Games: Mockingjay - Part 1,131631,"['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth']",['Francis Lawrence']
The Da Vinci Code,591,"['Tom Hanks', 'Audrey Tautou', 'Ian McKellen']",['Ron Howard']
Rio 2,172385,"['Jesse Eisenberg', 'Anne Hathaway', 'Leslie Mann']",['Carlos Saldanha']
X2,36658,"['Patrick Stewart', 'Hugh Jackman', 'Ian McKellen']",['Bryan Singer']
Fast Five,51497,"['Vin Diesel', 'Paul Walker', 'Jordana Brewster']",['Justin Lin']
Sherlock Holmes: A Game of Shadows,58574,"['Robert Downey Jr.', 'Jude Law', 'Jared Harris']",['Guy Ritchie']
Clash of the Titans,18823,"['Sam Worthington', 'Liam Neeson', 'Ralph Fiennes']",['Louis Leterrier']
Total Recall,861,"['Arnold Schwarzenegger', 'Sharon Stone', 'Rachel Ticotin']",['Paul Verhoeven']
The 13th Warrior,1911,"['Antonio Banderas', 'Vladimir Kulich', 'Dennis Storhøi']",['John McTiernan']
The Bourne Legacy,49040,"['Jeremy Renner', 'Rachel Weisz', 'Edward Norton']",['Tony Gilroy']
Batman & Robin,415,"['George Clooney', ""Chris O'Donnell"", 'Arnold Schwarzenegger']",['Joel Schumacher']
How the Grinch Stole Christmas,8871,"['Jim Carrey', 'Taylor Momsen', 'Jeffrey Tambor']",['Ron Howard']
The Day After Tomorrow,435,"['Dennis Quaid', 'Jake Gyllenhaal', 'Emmy Rossum']",['Roland Emmerich']
Mission: Impossible II,955,"['Tom Cruise', 'Dougray Scott', 'Thandie Newton']",['John Woo']
The Perfect Storm,2133,"['George Clooney', 'Mark Wahlberg', 'Diane Lane']",['Wolfgang Petersen']
Fantastic 4: Rise of the Silver Surfer,1979,"['Ioan Gruffudd', 'Jessica Alba', 'Chris Evans']",['Tim Story']
Life of Pi,87827,"['Suraj Sharma', 'Irrfan Khan', 'Ayush Tandon']",['Ang Lee']
Ghost Rider,1250,"['Nicolas Cage', 'Eva Mendes', 'Wes Bentley']",['Mark Steven Johnson']
Jason Bourne,324668,"['Matt Damon', 'Alicia Vikander', 'Tommy Lee Jones']",['Paul Greengrass']
Charlie's Angels: Full Throttle,9471,"['Cameron Diaz', 'Drew Barrymore', 'Lucy Liu']",['McG']
Prometheus,70981,"['Noomi Rapace', 'Michael Fassbender', 'Guy Pearce']",['Ridley Scott']
Stuart Little 2,10996,"['Michael J. Fox', 'Geena Davis', 'Hugh Laurie']",['Rob Minkoff']
Elysium,68724,"['Matt Damon', 'Jodie Foster', 'Sharlto Copley']",['Neill Blomkamp']
The Chronicles of Riddick,2789,"['Vin Diesel', 'Thandie Newton', 'Karl Urban']",['David Twohy']
RoboCop,97020,"['Joel Kinnaman', 'Gary Oldman', 'Michael Keaton']",['José Padilha']
Speed Racer,7459,"['Emile Hirsch', 'Christina Ricci', 'Matthew Fox']",['Lilly Wachowski']
How Do You Know,42888,"['Reese Witherspoon', 'Paul Rudd', 'Owen Wilson']",['James L. Brooks']
Knight and Day,37834,"['Tom Cruise', 'Cameron Diaz', 'Peter Sarsgaard']",['James Mangold']
Oblivion,75612,"['Tom Cruise', 'Morgan Freeman', 'Olga Kurylenko']",['Joseph Kosinski']
Star Wars: Episode III - Revenge of the Sith,1895,"['Ewan McGregor', 'Natalie Portman', 'Hayden Christensen']",['George Lucas']
Star Wars: Episode II - Attack of the Clones,1894,"['Ewan McGregor', 'Natalie Portman', 'Hayden Christensen']",['George Lucas']
"Monsters, Inc.",585,"['John Goodman', 'Billy Crystal', 'Mary Gibbs']",['Pete Docter']
The Wolverine,76170,"['Hugh Jackman', 'Hiroyuki Sanada', 'Famke Janssen']",['James Mangold']
Star Wars: Episode I - The Phantom Menace,1893,"['Liam Neeson', 'Ewan McGregor', 'Natalie Portman']",['George Lucas']
The Croods,49519,"['Nicolas Cage', 'Emma Stone', 'Ryan Reynolds']",['Chris Sanders']
Asterix at the Olympic Games,2395,"['Clovis Cornillac', 'Gérard Depardieu', 'Franck Dubosc']",['Thomas Langmann']
Windtalkers,12100,"['Nicolas Cage', 'Adam Beach', 'Peter Stormare']",['John Woo']
The Huntsman: Winter's War,290595,"['Chris Hemsworth', 'Charlize Theron', 'Emily Blunt']",['Cedric Nicolas-Troyan']
Teenage Mutant Ninja Turtles,98566,"['Megan Fox', 'Will Arnett', 'William Fichtner']",['Jonathan Liebesman']
Gravity,49047,"['Sandra Bullock', 'George Clooney', 'Ed Harris']",['Alfonso Cuarón']
Dante's Peak,9619,"['Pierce Brosnan', 'Linda Hamilton', 'Jamie Renée Smith']",['Roger Donaldson']
Teenage Mutant Ninja Turtles: Out of the Shadows,308531,"['Megan Fox', 'Stephen Amell', 'Will Arnett']",['Dave Green']
Fantastic Four,166424,"['Miles Teller', 'Kate Mara', 'Michael B. Jordan']",['Josh Trank']
Night at the Museum,1593,"['Ben Stiller', 'Jake Cherry', 'Carla Gugino']",['Shawn Levy']
San Andreas,254128,"['Dwayne Johnson', 'Alexandra Daddario', 'Carla Gugino']",['Brad Peyton']
Tomorrow Never Dies,714,"['Pierce Brosnan', 'Jonathan Pryce', 'Michelle Yeoh']",['Roger Spottiswoode']
The Patriot,2024,"['Mel Gibson', 'Heath Ledger', 'Joely Richardson']",['Roland Emmerich']
Ocean's Twelve,163,"['George Clooney', 'Brad Pitt', 'Catherine Zeta-Jones']",['Steven Soderbergh']
